epoch,accuracy,loss,val_accuracy,val_loss
0,0.37235915660858154,1.851497769355774,0.5357142686843872,1.4160444736480713
1,0.595950722694397,1.2254304885864258,0.6428571343421936,1.1717050075531006
2,0.6919013857841492,0.9615526795387268,0.6607142686843872,1.0317072868347168
3,0.7596830725669861,0.7960596084594727,0.6428571343421936,1.0064828395843506
4,0.8010563254356384,0.6808778047561646,0.75,0.8122275471687317
5,0.8257042169570923,0.6103000640869141,0.7410714030265808,0.8510385751724243
6,0.86091548204422,0.5350595116615295,0.7142857313156128,0.9187619090080261
7,0.8635563254356384,0.48319095373153687,0.7232142686843872,0.8609601855278015
8,0.8723591566085815,0.47672390937805176,0.7053571343421936,0.8362737894058228
9,0.8987675905227661,0.4292307496070862,0.7142857313156128,0.7979303002357483
10,0.9216549396514893,0.3509811460971832,0.7410714030265808,0.7521999478340149
11,0.9181337952613831,0.3274502754211426,0.75,0.802219808101654
12,0.9190140962600708,0.3270111680030823,0.7946428656578064,0.6638779044151306
13,0.9269366264343262,0.30251753330230713,0.8125,0.6805793642997742
14,0.9286971688270569,0.29350391030311584,0.8303571343421936,0.6544533371925354
15,0.9322183132171631,0.3017922341823578,0.8303571343421936,0.7167945504188538
16,0.9163732528686523,0.3410768508911133,0.8214285969734192,0.6602166891098022
17,0.9251760840415955,0.30940982699394226,0.8035714030265808,0.6896197199821472
18,0.9392605423927307,0.28223955631256104,0.8214285969734192,0.7083592414855957
19,0.952464759349823,0.2550347149372101,0.8392857313156128,0.7083339095115662
