epoch,accuracy,loss,val_accuracy,val_loss
0,0.19190141558647156,2.150851011276245,0.3125,1.7854307889938354
1,0.45686620473861694,1.5522018671035767,0.5089285969734192,1.5217761993408203
2,0.6197183132171631,1.1551271677017212,0.6517857313156128,1.1554819345474243
3,0.6892605423927307,0.930812656879425,0.5714285969734192,1.2174254655838013
4,0.7438380122184753,0.8181110620498657,0.6607142686843872,1.0785307884216309
5,0.7825704216957092,0.7219679951667786,0.6964285969734192,0.8696531653404236
6,0.7948943376541138,0.665993332862854,0.6964285969734192,0.8989647030830383
7,0.8045774698257446,0.6363735198974609,0.7410714030265808,0.8704927563667297
8,0.8230633735656738,0.6083110570907593,0.7142857313156128,0.8532914519309998
9,0.8450704216957092,0.5531200766563416,0.8392857313156128,0.6351621747016907
10,0.8450704216957092,0.5369084477424622,0.7767857313156128,0.7997840642929077
11,0.8776408433914185,0.4516194760799408,0.7678571343421936,0.7825157046318054
12,0.8811619877815247,0.4510791003704071,0.7767857313156128,0.7922413945198059
13,0.889964759349823,0.4374615252017975,0.75,0.9140549898147583
14,0.8802816867828369,0.44351285696029663,0.7946428656578064,0.7900852560997009
15,0.8661971688270569,0.4591245949268341,0.8125,0.6947322487831116
16,0.9066901206970215,0.38915905356407166,0.7410714030265808,0.8034628033638
17,0.8908450603485107,0.4174739420413971,0.7767857313156128,0.8327314257621765
18,0.8943662047386169,0.38436347246170044,0.8035714030265808,0.9061846137046814
19,0.9014084339141846,0.3889678716659546,0.7053571343421936,0.8578090667724609
